GEO_ID,NAME,B19013_001E
1600000US0132704,"Haleyville city, Alabama",42058
1600000US0132848,"Hamilton city, Alabama",54871
1600000US0132896,"Hammondville town, Alabama",37083
1600000US0132968,"Hanceville city, Alabama",41791
1600000US0133064,"Hanover CDP, Alabama",108929
1600000US0133256,"Harpersville town, Alabama",75018
1600000US0133424,"Hartford city, Alabama",56250
1600000US0133448,"Hartselle city, Alabama",76290
1600000US0133472,"Harvest CDP, Alabama",101910
1600000US0133544,"Hatton CDP, Alabama",-666666666
1600000US0133640,"Hayden town, Alabama",80125
1600000US0133712,"Hayneville town, Alabama",37723
1600000US0133808,"Hazel Green CDP, Alabama",86271
1600000US0133856,"Headland city, Alabama",79063
1600000US0133904,"Heath town, Alabama",65855
1600000US0133976,"Heflin city, Alabama",46711
1600000US0134024,"Helena city, Alabama",115139
1600000US0134096,"Henagar city, Alabama",49315
1600000US0134480,"Highland Lake town, Alabama",71563
1600000US0134490,"Highland Lakes CDP, Alabama",169361
1600000US0134816,"Hillsboro town, Alabama",61818
1600000US0134984,"Hissop CDP, Alabama",65592
1600000US0135130,"Hobson CDP, Alabama",170240
1600000US0135152,"Hobson City town, Alabama",47361
1600000US0135200,"Hodges town, Alabama",69286
1600000US0135392,"Hokes Bluff city, Alabama",74968
1600000US0135512,"Hollins CDP, Alabama",55398
1600000US0135536,"Hollis Crossroads CDP, Alabama",-666666666
1600000US0135560,"Holly Pond town, Alabama",42333
1600000US0135632,"Hollywood town, Alabama",51071
1600000US0135704,"Holt CDP, Alabama",48675
1600000US0135752,"Holtville CDP, Alabama",76652
1600000US0135800,"Homewood city, Alabama",94485
1600000US0135896,"Hoover city, Alabama",109253
1600000US0136088,"Horn Hill town, Alabama",36250
1600000US0136448,"Hueytown city, Alabama",62784
1600000US0136592,"Huguley CDP, Alabama",43750
1600000US0137000,"Huntsville city, Alabama",74714
1600000US0137096,"Hurtsboro town, Alabama",26375
1600000US0137264,"Hytop town, Alabama",66458
1600000US0137312,"Ider town, Alabama",54444
1600000US0137465,"Indian Springs Village city, Alabama",136836
1600000US0137864,"Irondale city, Alabama",72343
1600000US0138032,"Ivalee CDP, Alabama",41198
1600000US0138152,"Jackson city, Alabama",37948
1600000US0138248,"Jacksons' Gap town, Alabama",32228
1600000US0138272,"Jacksonville city, Alabama",51814
1600000US0138416,"Jasper city, Alabama",66238
1600000US0138608,"Jemison city, Alabama",65800
1600000US0139064,"Joppa CDP, Alabama",-666666666
1600000US0139280,"Kansas town, Alabama",49583
1600000US0139472,"Kellyton town, Alabama",60625
1600000US0139520,"Kennedy town, Alabama",41136
1600000US0139784,"Killen town, Alabama",69722
1600000US0139856,"Kimberly city, Alabama",97429
1600000US0140072,"Kinsey city, Alabama",55500
1600000US0140096,"Kinston town, Alabama",43036
1600000US0140648,"Ladonia CDP, Alabama",53441
1600000US0140672,"La Fayette city, Alabama",32601
1600000US0140888,"Lakeview town, Alabama",63125
1600000US0140928,"Lake View city, Alabama",101487
1600000US0141296,"Lanett city, Alabama",42357
1600000US0141368,"Langston town, Alabama",53929
1600000US0141968,"Leeds city, Alabama",69737
1600000US0142016,"Leesburg town, Alabama",56875
1600000US0142160,"Leighton town, Alabama",33894
1600000US0142304,"Leroy CDP, Alabama",93036
1600000US0142352,"Lester town, Alabama",80833
1600000US0142472,"Level Plains town, Alabama",77000
1600000US0142640,"Lexington town, Alabama",57356
1600000US0142808,"Libertyville town, Alabama",81346
1600000US0142928,"Lillian CDP, Alabama",52281
1600000US0143120,"Lincoln city, Alabama",57145
1600000US0143240,"Linden town, Alabama",38667
1600000US0143264,"Lineville city, Alabama",38302
1600000US0143336,"Lipscomb city, Alabama",41875
1600000US0143384,"Lisman town, Alabama",38235
1600000US0143648,"Littleville town, Alabama",55817
1600000US0143720,"Livingston city, Alabama",24236
1600000US0143744,"Loachapoka town, Alabama",41985
1600000US0143816,"Lockhart town, Alabama",33750
1600000US0143888,"Locust Fork town, Alabama",50000
1600000US0144160,"Lookout Mountain CDP, Alabama",80362
1600000US0144344,"Louisville town, Alabama",44439
1600000US0144536,"Lowndesboro town, Alabama",-666666666
1600000US0144608,"Loxley city, Alabama",108488
1600000US0144728,"Luverne city, Alabama",43269
1600000US0144800,"Lynn town, Alabama",44010
1600000US0145040,"McCalla CDP, Alabama",87468
1600000US0145208,"McDonald Chapel CDP, Alabama",56971
1600000US0145316,"Macedonia CDP, Alabama",31453
1600000US0145472,"McIntosh town, Alabama",74167
1600000US0145496,"McKenzie town, Alabama",31250
1600000US0145640,"McMullen town, Alabama",-666666666
1600000US0145784,"Madison city, Alabama",134655
1600000US0145904,"Madrid town, Alabama",39750
1600000US0146072,"Magnolia Springs town, Alabama",86818
1600000US0146192,"Malcolm CDP, Alabama",-666666666
1600000US0146264,"Malvern town, Alabama",43854
1600000US0146504,"Maplesville town, Alabama",38155
1600000US0146600,"Marbury CDP, Alabama",83558
1600000US0146696,"Margaret city, Alabama",101802
1600000US0146768,"Marion city, Alabama",35842
1600000US0147728,"Maytown town, Alabama",50938
1600000US0147740,"Meadowbrook CDP, Alabama",141862
1600000US0147848,"Megargel CDP, Alabama",-666666666
1600000US0148052,"Memphis town, Alabama",2499
1600000US0148064,"Mentone town, Alabama",42344
1600000US0148112,"Meridianville CDP, Alabama",97434
1600000US0148376,"Midfield city, Alabama",52755
1600000US0148400,"Midland City city, Alabama",28438
1600000US0148424,"Midway town, Alabama",61893
1600000US0148616,"Mignon CDP, Alabama",32818
1600000US0148712,"Millbrook city, Alabama",70313
1600000US0148784,"Millerville CDP, Alabama",96071
1600000US0148808,"Millport town, Alabama",76875
1600000US0148832,"Millry town, Alabama",39167
1600000US0149072,"Minor CDP, Alabama",42321
1600000US0150000,"Mobile city, Alabama",53558
1600000US0150192,"Monroeville city, Alabama",32513
1600000US0150312,"Montevallo city, Alabama",56626
1600000US0151000,"Montgomery city, Alabama",56811
1600000US0151096,"Moody city, Alabama",86627
1600000US0151216,"Moores Mill CDP, Alabama",96774
1600000US0151264,"Mooresville town, Alabama",144000
1600000US0151456,"Morris city, Alabama",101563
1600000US0151469,"Morrison Crossroads CDP, Alabama",-666666666
1600000US0151520,"Mosses town, Alabama",26568
1600000US0151600,"Moulton city, Alabama",57813
1600000US0151648,"Moundville town, Alabama",73036
1600000US0151696,"Mountain Brook city, Alabama",201479
1600000US0152320,"Mount Olive CDP (Coosa County), Alabama",-666666666
1600000US0152344,"Mount Olive CDP (Jefferson County), Alabama",82234
1600000US0152608,"Mount Vernon town, Alabama",46307
1600000US0152680,"Movico CDP, Alabama",-666666666
1600000US0152776,"Mulga town, Alabama",41146
1600000US0152848,"Munford town, Alabama",42284
1600000US0153016,"Muscle Shoals city, Alabama",75894
1600000US0153112,"Myrtlewood town, Alabama",95469
1600000US0153208,"Nanafalia CDP, Alabama",-666666666
1600000US0153232,"Nances Creek CDP, Alabama",-666666666
1600000US0153256,"Napier Field town, Alabama",41875
1600000US0153376,"Natural Bridge town, Alabama",-666666666
1600000US0153400,"Nauvoo town, Alabama",45625
1600000US0153448,"Nectar town, Alabama",51979
1600000US0153472,"Needham town, Alabama",87500
1600000US0153784,"Newbern town, Alabama",35521
1600000US0153856,"New Brockton town, Alabama",72212
1600000US0154168,"New Hope city, Alabama",83816
1600000US0154312,"New Market CDP, Alabama",62500
1600000US0154432,"New Site town, Alabama",61250
1600000US0154480,"Newton town, Alabama",60030
1600000US0154582,"New Union CDP, Alabama",43462
1600000US0154600,"Newville town, Alabama",41250
1600000US0154696,"Nixburg CDP, Alabama",52621
1600000US0155044,"North Courtland town, Alabama",32813
1600000US0155152,"North Johns town, Alabama",49205
1600000US0155200,"Northport city, Alabama",80913
1600000US0155440,"Notasulga town, Alabama",42411
1600000US0155752,"Oak Grove town, Alabama",47857
1600000US0155848,"Oak Hill town, Alabama",-666666666
1600000US0155992,"Oakman town, Alabama",35208
1600000US0156400,"Odenville city, Alabama",70296
1600000US0156472,"Ohatchee town, Alabama",76667
1600000US0157000,"Oneonta city, Alabama",53980
1600000US0157024,"Onycha town, Alabama",47639
1600000US0157048,"Opelika city, Alabama",65004
1600000US0157120,"Opp city, Alabama",41347
1600000US0157144,"Orange Beach city, Alabama",97736
1600000US0157240,"Orrville town, Alabama",-666666666
1600000US0157384,"Our Town CDP, Alabama",-666666666
1600000US0157504,"Owens Cross Roads city, Alabama",86188
1600000US0157576,"Oxford city, Alabama",74268
1600000US0157648,"Ozark city, Alabama",48944
1600000US0157696,"Paint Rock town, Alabama",51250
1600000US0157912,"Panola CDP, Alabama",-666666666
1600000US0158272,"Parrish town, Alabama",32798
1600000US0158680,"Pea Ridge CDP, Alabama",63889
1600000US0158848,"Pelham city, Alabama",101094
1600000US0158896,"Pell City city, Alabama",68638
1600000US0158968,"Pennington town, Alabama",29052
1600000US0159016,"Penton CDP, Alabama",-666666666
1600000US0159064,"Perdido CDP, Alabama",38458
1600000US0159088,"Perdido Beach town, Alabama",80875
1600000US0159232,"Peterman CDP, Alabama",-666666666
1600000US0159328,"Petrey town, Alabama",67321
1600000US0159472,"Phenix City city, Alabama",50053
1600000US0159496,"Phil Campbell town, Alabama",42969
1600000US0159592,"Pickensville town, Alabama",34250
1600000US0159640,"Piedmont city, Alabama",40506
1600000US0159760,"Pike Road city, Alabama",117091
1600000US0159832,"Pinckard town, Alabama",58162
1600000US0159880,"Pine Apple town, Alabama",43750
1600000US0160240,"Pine Hill town, Alabama",33864
1600000US0160264,"Pine Level CDP, Alabama",93134
1600000US0160372,"Pine Ridge town, Alabama",58750
1600000US0160648,"Pinson city, Alabama",76410
1600000US0160720,"Pisgah town, Alabama",54167
1600000US0161008,"Pleasant Grove city, Alabama",70317
1600000US0161038,"Pleasant Groves town, Alabama",60759
1600000US0161488,"Point Clear CDP, Alabama",46097
1600000US0161536,"Pollard town, Alabama",75278
1600000US0162075,"Powell town, Alabama",61786
1600000US0162328,"Prattville city, Alabama",81337
1600000US0162472,"Priceville city, Alabama",117127
1600000US0162496,"Prichard city, Alabama",36588
1600000US0162688,"Providence town, Alabama",50000
1600000US0162952,"Putnam CDP, Alabama",39141
1600000US0163216,"Ragland town, Alabama",37708
1600000US0163288,"Rainbow City city, Alabama",56398
1600000US0163336,"Rainsville city, Alabama",74046
1600000US0163408,"Ranburne town, Alabama",81625
1600000US0163495,"Ray CDP, Alabama",77951
1600000US0163576,"Red Bay city, Alabama",37473
1600000US0163730,"Redland CDP, Alabama",130278
1600000US0163768,"Red Level town, Alabama",38750
1600000US0163912,"Redstone Arsenal CDP, Alabama",140114
1600000US0163984,"Reece City town, Alabama",66705
1600000US0164040,"Reeltown CDP, Alabama",83523
1600000US0164104,"Reform town, Alabama",33578
1600000US0164152,"Rehobeth town, Alabama",80972
1600000US0164248,"Remlap CDP, Alabama",64677
1600000US0164368,"Repton town, Alabama",23438
1600000US0164656,"Ridgeville town, Alabama",-666666666
1600000US0164776,"River Falls town, Alabama",35104
1600000US0164920,"Riverside city, Alabama",83664
1600000US0165016,"Riverview town, Alabama",-666666666
1600000US0165040,"Roanoke city, Alabama",47105
1600000US0165208,"Robertsdale city, Alabama",59152
1600000US0165412,"Rock Creek CDP, Alabama",84432
1600000US0165472,"Rockford town, Alabama",43125
1600000US0165592,"Rock Mills CDP, Alabama",25071
1600000US0165784,"Rockville CDP, Alabama",-666666666
1600000US0166216,"Rogersville town, Alabama",66127
1600000US0166408,"Rosa town, Alabama",-666666666
1600000US0167056,"Russellville city, Alabama",58231
1600000US0167176,"Rutledge town, Alabama",31538
1600000US0167536,"St. Florian town, Alabama",58750
1600000US0167584,"St. Stephens CDP, Alabama",63068
1600000US0167608,"Saks CDP, Alabama",49753
1600000US0167800,"Samson town, Alabama",33424
1600000US0167920,"Sand Rock town, Alabama",73333
1600000US0168016,"Sanford town, Alabama",52875
1600000US0168160,"Saraland city, Alabama",61509
1600000US0168280,"Sardis City town, Alabama",67721
1600000US0168352,"Satsuma city, Alabama",101042
1600000US0168736,"Scottsboro city, Alabama",53929
1600000US0169000,"Section town, Alabama",47500
1600000US0169120,"Selma city, Alabama",33197
1600000US0169180,"Selmont-West Selmont CDP, Alabama",32443
1600000US0169240,"Semmes city, Alabama",66417
1600000US0169648,"Sheffield city, Alabama",39733
1600000US0169672,"Shelby CDP, Alabama",-666666666
1600000US0169840,"Shiloh town, Alabama",61538
1600000US0169978,"Shoal Creek CDP, Alabama",218333
1600000US0170128,"Shorter town, Alabama",48125
1600000US0170416,"Silas town, Alabama",66250
1600000US0170536,"Silverhill town, Alabama",57500
1600000US0170632,"Sims Chapel CDP, Alabama",-666666666
1600000US0170704,"Sipsey town, Alabama",26750
1600000US0170896,"Skyline town, Alabama",44307
1600000US0171040,"Slocomb city, Alabama",38056
1600000US0171190,"Smiths Station city, Alabama",64669
1600000US0171201,"Smoke Rise CDP, Alabama",85882
1600000US0171280,"Snead town, Alabama",48509
1600000US0171496,"Somerville town, Alabama",49261
1600000US0171832,"Southside city, Alabama",76487
1600000US0171900,"South Vinemont town, Alabama",50795
1600000US0171976,"Spanish Fort city, Alabama",99346
1600000US0172408,"Spring Garden CDP, Alabama",60919
1600000US0172600,"Springville city, Alabama",84231
1600000US0172672,"Spruce Pine CDP, Alabama",97978
1600000US0172720,"Standing Rock CDP, Alabama",44167
1600000US0172816,"Stapleton CDP, Alabama",-666666666
1600000US0172888,"Steele town, Alabama",72386
1600000US0173056,"Sterrett CDP, Alabama",65756
1600000US0173080,"Stevenson town, Alabama",53958
1600000US0173152,"Stewartville CDP, Alabama",87574
1600000US0173272,"Stockton CDP, Alabama",148611
1600000US0173728,"Sulligent town, Alabama",34861
1600000US0173848,"Sumiton city, Alabama",65568
1600000US0173872,"Summerdale town, Alabama",70110
1600000US0174160,"Susan Moore town, Alabama",84554
1600000US0174304,"Sweet Water town, Alabama",52411
